date,DailyPrice,DlyRet,DlyRetx,vwretd,vwretx,ewretd,ewretx,sprtrn
2000-03-28,86.5625,-0.021201,-0.021201,-0.013168,-0.013177,-0.008854,-0.008891,-0.010585
2000-03-29,82.5,-0.046931,-0.046931,-0.010693,-0.010854,-0.013118,-0.01353,0.000524
2000-03-30,78.4375,-0.049242,-0.049242,-0.018181,-0.018198,-0.017728999999999998,-0.017784,-0.013656
2000-03-31,78.0625,-0.0047810000000000005,-0.0047810000000000005,0.012111,0.012109,0.013088,0.013071,0.007164
2000-04-03,76.875,-0.015212,-0.015212,-0.017206,-0.017221,-0.02361,-0.023665,0.0049310000000000005
2000-04-04,75.9375,-0.012195,-0.012195,-0.012824,-0.012849,-0.028033,-0.028052,-0.007464
2000-04-05,78.25,0.030453,0.030453,0.00106,0.001002,0.008262,0.008175,-0.004924
2000-04-06,82.1875,0.050319,0.050319,0.015859,0.015721000000000002,0.019032,0.018964,0.009392
2000-04-07,87.125,0.060076,0.060076,0.014535,0.014533,0.013005,0.012985,0.009998
2000-04-10,82.5,-0.053085,-0.053085,-0.019337,-0.019338,-0.016988,-0.016996,-0.007840999999999999
2000-04-11,77.375,-0.062121,-0.062121,-0.010238,-0.010277,-0.015836000000000003,-0.015869,-0.002572
2000-04-12,73.125,-0.054927,-0.054927,-0.029996,-0.030076,-0.027053,-0.027253,-0.022271
2000-04-13,71.9375,-0.016239,-0.016239,-0.017135,-0.017141999999999998,-0.015750999999999998,-0.015829,-0.018171
2000-04-14,62.5,-0.13119,-0.13119,-0.066174,-0.066176,-0.06352200000000001,-0.063568,-0.058278
2000-04-17,74.8125,0.197,0.197,0.029299,0.029297000000000007,-0.009437,-0.009465,0.033083999999999995
2000-04-18,78.9375,0.055138,0.055138,0.038392,0.038346,0.048394,0.048331,0.028663
2000-04-19,74.5625,-0.055424,-0.055424,-0.007378,-0.007418000000000002,0.011476,0.011437,-0.009808
2000-04-20,70.8125,-0.050293,-0.050293,0.0005610000000000001,0.000417,0.00305,0.003022,0.004953
